Time;Inflacao;Selic;Cambio;Industria
01/01/2002 00:00;0,52;19,05;2,3771;75,6
01/02/2002 00:00;0,36;18,97;2,4188;74,4
01/03/2002 00:00;0,6;18,72;2,3458;77,1
01/04/2002 00:00;0,8;18,38;2,3196;74,4
01/05/2002 00:00;0,21;18,37;2,4796;74,4
01/06/2002 00:00;0,42;18,1;2,7132;74,5
01/07/2002 00:00;1,19;18,17;2,9338;74,6
01/08/2002 00:00;0,65;17,84;3,1093;73,7
01/09/2002 00:00;0,72;17,89;3,3412;77,1
01/10/2002 00:00;1,31;19,59;3,8051;75,9
01/11/2002 00:00;3,02;21,25;3,5756;76,2
01/12/2002 00:00;2,1;23,03;3,6251;76,3
01/01/2003 00:00;2,25;25,06;3,4376;76
01/02/2003 00:00;1,57;25,68;3,59;76,8
01/03/2003 00:00;1,23;26,32;3,4461;76
01/04/2003 00:00;0,97;26,32;3,1179;76,3
01/05/2003 00:00;0,61;26,31;2,9549;75,7
01/06/2003 00:00;-0,15;26,09;2,8824;75,1
01/07/2003 00:00;0,2;25,36;2,879;74,8
01/08/2003 00:00;0,34;23,5;3,0017;73,6
01/09/2003 00:00;0,78;21,02;2,922;77
01/10/2003 00:00;0,29;19,54;2,8607;76,9
01/11/2003 00:00;0,34;18,31;2,913;77,3
01/12/2003 00:00;0,52;16,91;2,9245;82
01/01/2004 00:00;0,76;16,32;2,851;77,6
01/02/2004 00:00;0,61;16,3;2,9295;79,7
01/03/2004 00:00;0,47;16,19;2,9047;78,4
01/04/2004 00:00;0,37;15,96;2,9052;80,2
01/05/2004 00:00;0,51;15,77;3,0996;79,9
01/06/2004 00:00;0,71;15,8;3,1283;81,5
01/07/2004 00:00;0,91;15,77;3,036;82
01/08/2004 00:00;0,69;15,86;3,0021;82,3
01/09/2004 00:00;0,33;16,09;2,8903;81,6
01/10/2004 00:00;0,44;16,41;2,8521;82
01/11/2004 00:00;0,69;16,96;2,7852;82,8
01/12/2004 00:00;0,86;17,5;2,7174;82,8
01/01/2005 00:00;0,58;17,93;2,6922;83,8
01/02/2005 00:00;0,59;18,47;2,597;83,2
01/03/2005 00:00;0,61;18,97;2,7039;85
01/04/2005 00:00;0,87;19,32;2,5784;85
01/05/2005 00:00;0,49;19,61;2,452;84,2
01/06/2005 00:00;-0,02;19,75;2,4127;87,4
01/07/2005 00:00;0,25;19,72;2,3727;85,7
01/08/2005 00:00;0,17;19,75;2,3598;85,1
01/09/2005 00:00;0,35;19,61;2,2936;85,4
01/10/2005 00:00;0,75;19,25;2,2557;86,8
01/11/2005 00:00;0,55;18,87;2,21;85,9
01/12/2005 00:00;0,36;18,24;2,2847;86,9
01/01/2006 00:00;0,59;17,65;2,2731;88,4
01/02/2006 00:00;0,41;17,28;2,1611;89,2
01/03/2006 00:00;0,43;16,74;2,1512;88,2
01/04/2006 00:00;0,21;16,19;2,1285;88,5
01/05/2006 00:00;0,1;15,7;2,1773;90,2
01/06/2006 00:00;-0,21;15,18;2,2475;88
01/07/2006 00:00;0,19;14,98;2,1885;88,3
01/08/2006 00:00;0,05;14,66;2,1551;89,5
01/09/2006 00:00;0,21;14,17;2,1679;89,5
01/10/2006 00:00;0,33;13,95;2,1475;89,7
01/11/2006 00:00;0,31;13,65;2,1571;92
01/12/2006 00:00;0,48;13,19;2,1491;93,4
01/01/2007 00:00;0,44;13,13;2,1377;93,8
01/02/2007 00:00;0,44;12,93;2,0955;92,4
01/03/2007 00:00;0,37;12,74;2,0879;95,6
01/04/2007 00:00;0,25;12,58;2,0312;96,2
01/05/2007 00:00;0,28;12,43;1,9808;97,6
01/06/2007 00:00;0,28;12,03;1,9311;97,6
01/07/2007 00:00;0,24;11,73;1,882;98,2
01/08/2007 00:00;0,47;11,43;1,9652;99,2
01/09/2007 00:00;0,18;11,22;1,8988;95,5
01/10/2007 00:00;0,3;11,18;1,8002;99,4
01/11/2007 00:00;0,38;11,18;1,7691;101,1
01/12/2007 00:00;0,74;11,18;1,7852;100,2
01/01/2008 00:00;0,54;11,18;1,7735;104,1
01/02/2008 00:00;0,49;11,18;1,7269;102,1
01/03/2008 00:00;0,48;11,18;1,7068;100,1
01/04/2008 00:00;0,55;11,37;1,6881;101,2
01/05/2008 00:00;0,79;11,63;1,6597;103
01/06/2008 00:00;0,74;12,09;1,6181;102,6
01/07/2008 00:00;0,53;12,36;1,5906;106,6
01/08/2008 00:00;0,28;12,92;1,6115;103,5
01/09/2008 00:00;0,26;13,39;1,7988;102,8
01/10/2008 00:00;0,45;13,66;2,1721;99,7
01/11/2008 00:00;0,36;13,64;2,2655;85,9
01/12/2008 00:00;0,28;13,66;2,3936;72,9
01/01/2009 00:00;0,48;13,32;2,3066;76
01/02/2009 00:00;0,55;12,66;2,3119;78,5
01/03/2009 00:00;0,2;11,7;2,313;80,6
01/04/2009 00:00;0,48;11,11;2,2051;83,2
01/05/2009 00:00;0,47;10,16;2,0601;82,2
01/06/2009 00:00;0,36;9,54;1,9568;88,4
01/07/2009 00:00;0,24;9,01;1,932;89,2
01/08/2009 00:00;0,15;8,65;1,8444;88,7
01/09/2009 00:00;0,24;8,65;1,819;91,3
01/10/2009 00:00;0,28;8,65;1,7376;92,6
01/11/2009 00:00;0,41;8,65;1,7254;92,9
01/12/2009 00:00;0,37;8,65;1,7495;93,7
01/01/2010 00:00;0,75;8,65;1,779;94,8
01/02/2010 00:00;0,78;8,65;1,8408;96,4
01/03/2010 00:00;0,52;8,65;1,785;99,6
01/04/2010 00:00;0,57;8,72;1,7558;99,4
